Question,Answer
study_type,CONTROL
participant_gender,female
risk_q1,9
risk_q2,9
risk_q3,9
risk_q4,9
risk_q5,6
risk_q6,9
risk_q7,9
turn_1,lockdown
turn_2,health
turn_3,vaccine
turn_4,disinformation
turn_5,equity
player_response,XD
anthropomorphism_1,5
anthropomorphism_2,5
anthropomorphism_3,5
anthropomorphism_4,5
anthropomorphism_5,4
animacy_1,2
animacy_2,5
animacy_3,2
animacy_4,4
animacy_5,5
animacy_6,5
likeability_1,5
likeability_2,5
likeability_3,5
likeability_4,5
likeability_5,5
influence_1,5
influence_2,4
influence_3,2
influence_4,4
feedback_1,MOVEMENTS and gesture
feedback_2,hands up
